207,800,3,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,5500000,Ready_to_move,New_Property,house
208,850,3,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,7000000,Ready_to_move,New_Property,house
209,720,3,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,6500000,Ready_to_move,New_Property,house
210,4688,5,4,Unfurnished,"The Leela Sky Villas, Patel Nagar",1,135000000,Almost_ready,New_Property,flat
211,750,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,5000000,Ready_to_move,New_Property,flat
212,3901,4,4,Unfurnished,"The Leela Sky Villas, Patel Nagar",1,93000000,Almost_ready,New_Property,flat
213,950,3,2,Furnished,"Uttam Nagar Floors, Uttam Nagar",1,4370000,Ready_to_move,New_Property,flat
214,1000,3,2,Unfurnished,"Virat Residency, Dwarka Mor",1,4620000,Ready_to_move,New_Property,flat
215,850,2,1,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",1,1900000,Ready_to_move,New_Property,flat
216,2400,4,4,Semi-Furnished,"Find Homes, Greater Kailash 2",1,70000000,Ready_to_move,New_Property,flat
217,1350,3,2,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,5130000,Ready_to_move,New_Property,flat
218,540,2,2,Semi-Furnished,"Adarsh Homes, Dwarka Mor",1,3000000,Ready_to_move,New_Property,flat
219,1387,4,4,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",1,5890000,Ready_to_move,New_Property,flat
220,540,2,2,Semi-Furnished,"Kushwaha Homes, Uttam Nagar",1,3300000,Ready_to_move,New_Property,flat
221,976,2,2,Furnished,"Godrej South Estate, Okhla",1,24900000,Ready_to_move,New_Property,flat
222,1050,3,2,Unfurnished,"The Elite Spire, Dwarka Sector 21",1,3700000,Ready_to_move,New_Property,flat
223,2700,4,3,Semi-Furnished,"APL Builder Floor, Greater Kailash 1",1,60000000,Ready_to_move,New_Property,house
224,1500,3,2,Unfurnished,"Kunj Vihar flat, Dwarka Sector 12",1,17400000,Ready_to_move,Resale,flat
225,2900,5,5,Furnished,Janakpuri Block A3,1,51000000,Almost_ready,New_Property,house
226,5025,5,6,Unfurnished,Greater Kailash 2,4,170000000,Almost_ready,New_Property,house
227,1000,3,2,Semi-Furnished,"Partap Homes, Bhagwati Vihar, Uttam Nagar",1,5510000,Almost_ready,New_Property,house
228,1135,3,3,Furnished,"The Amaryllis, Karol Bagh",2,25000000,Almost_ready,Resale,flat
229,2306,3,3,Unfurnished,"The Leela Sky Villas, Patel Nagar",1,57000000,Almost_ready,New_Property,flat
230,850,2,2,Semi-Furnished,"Diamond Heights Multi Estate, Najafgarh",1,2940000,Almost_ready,New_Property,flat
231,1200,3,3,Semi-Furnished,"Ashirwad flats, Dwarka Sector 12",1,15500000,Ready_to_move,Resale,flat
232,1700,3,2,Semi-Furnished,"Sunny Valley flats, Dwarka",1,17200000,Ready_to_move,Resale,flat
233,1800,4,3,Semi-Furnished,"Vasant Vihar Builder Floor, Vasant Vihar",2,55000000,Ready_to_move,Resale,house
234,1100,2,2,Semi-Furnished,Vasant Kunj,1,15000000,Ready_to_move,Resale,flat
235,22050,4,4,Semi-Furnished,Greater Kailash 1,2,51000000,Almost_ready,New_Property,house
236,1550,4,3,Semi-Furnished,Rohini Sector 24,1,13000000,Ready_to_move,New_Property,house
237,1600,3,3,Semi-Furnished,Greater Kailash 1,1,30000000,Ready_to_move,New_Property,house
238,700,2,2,Semi-Furnished,"Khanpur, Madangir",1,2400000,Ready_to_move,New_Property,house
